mu_DM,alpha,A
12.0,0.0,0.1810207377170168
12.0,0.0030303030303030303,0.1801816114955635
12.0,0.006060606060606061,0.1793446070620783
12.0,0.00909090909090909,0.17850972965242104
12.0,0.012121212121212121,0.17767698444320074
12.0,0.015151515151515152,0.17684637655532784
12.0,0.01818181818181818,0.17601791105160702
12.0,0.021212121212121213,0.17519159293686612
12.0,0.024242424242424242,0.1743674271602822
12.0,0.02727272727272727,0.17354541861236045
12.0,0.030303030303030304,0.17272557212220566
12.0,0.03333333333333333,0.1719078924609604
12.0,0.03636363636363636,0.1710923843423544
12.0,0.03939393939393939,0.17027905242047958
12.0,0.04242424242424243,0.16946790128531708
12.0,0.045454545454545456,0.16865893546372357
12.0,0.048484848484848485,0.16785215941873088
12.0,0.051515151515151514,0.1670475775496758
12.0,0.05454545454545454,0.16624519419030917
12.0,0.05757575757575758,0.16544501360831146
12.0,0.06060606060606061,0.16464704000453492
12.0,0.06363636363636363,0.16385127751263426
12.0,0.06666666666666667,0.16305773019339453
12.0,0.0696969696969697,0.16226640203488138
12.0,0.07272727272727272,0.16147729695627175
12.0,0.07575757575757576,0.16069041880299664
12.0,0.07878787878787878,0.15990577134321102
12.0,0.08181818181818182,0.1591233582709323
12.0,0.08484848484848485,0.15834318320480698
12.0,0.08787878787878788,0.15756524968551536
12.0,0.09090909090909091,0.15678956117821446
12.0,0.09393939393939393,0.15601612107483473
12.0,0.09696969696969697,0.15524493269421674
12.0,0.1,0.15447599928384548
12.0,0.10303030303030303,0.1537093240220268
12.0,0.10606060606060606,0.1529449100239678
12.0,0.10909090909090909,0.1521827603464102
12.0,0.11212121212121212,0.15142287798955245
12.0,0.11515151515151516,0.15066526590552767
12.0,0.11818181818181818,0.1499099270045481
12.0,0.12121212121212122,0.14915686415891516
12.0,0.12424242424242424,0.1484060802118406
12.0,0.12727272727272726,0.14765757798223522
12.0,0.1303030303030303,0.14691136027072013
12.0,0.13333333333333333,0.14616742986857204
12.0,0.13636363636363635,0.14542578956393507
12.0,0.1393939393939394,0.144686442147646
12.0,0.14242424242424243,0.14394939041727675
12.0,0.14545454545454545,0.14321463718093524
12.0,0.1484848484848485,0.14248218526131298
12.0,0.15151515151515152,0.1417520375000055
12.0,0.15454545454545454,0.14102419675918196
12.0,0.15757575757575756,0.14029866592353693
12.0,0.1606060606060606,0.13957544790149137
12.0,0.16363636363636364,0.1388545456249817
12.0,0.16666666666666666,0.138135962048955
12.0,0.1696969696969697,0.13741970015047397
12.0,0.17272727272727273,0.13670576292711809
12.0,0.17575757575757575,0.1359941533963084
12.0,0.1787878787878788,0.1352848745912211
12.0,0.18181818181818182,0.13457792955993098
12.0,0.18484848484848485,0.13387332136409677
12.0,0.18787878787878787,0.13317105307406202
12.0,0.19090909090909092,0.1324711277662811
12.0,0.19393939393939394,0.13177354852093032
12.0,0.19696969696969696,0.1310783184161051
12.0,0.2,0.13038544052556936
12.0,0.20303030303030303,0.1296949179151875
12.0,0.20606060606060606,0.12900675363749795
12.0,0.20909090909090908,0.12832095072889524
12.0,0.21212121212121213,0.12763751220349828
12.0,0.21515151515151515,0.12695644104768947
12.0,0.21818181818181817,0.1262777402133549
12.0,0.22121212121212122,0.1256014126143407
12.0,0.22424242424242424,0.12492746112016223
12.0,0.22727272727272727,0.12425588855050437
12.0,0.23030303030303031,0.12358669766857215
12.0,0.23333333333333334,0.12291989117435471
12.0,0.23636363636363636,0.12225547169835727
12.0,0.23939393939393938,0.12159344179660941
12.0,0.24242424242424243,0.1209338039430327
12.0,0.24545454545454545,0.12027656052430132
12.0,0.24848484848484848,0.11962171383382281
12.0,0.2515151515151515,0.1189692660674098
